user_id,item_id,rating,timestamp
1,150,3.5,1084467522
1,1124,4.0,1435999177
1,1300,3.5,838144399
1,1784,4.5,1154719218
1,2324,4.0,1498518815
1,2430,1.0,836435811
1,2881,3.0,992331285
1,3198,2.5,1030944178
1,3684,3.0,1110813885
1,3949,4.5,1451218699
1,4011,3.0,945751855
1,4993,5.0,1469650511
1,5528,3.5,1504321132
1,5635,3.0,1494803762
1,6983,3.5,1478451804
1,8484,1.0,1322252028
1,40819,4.5,950718872
2,16,4.5,1108798641
2,62,3.0,850467408
2,440,2.5,1059428049
2,494,3.0,1167862034
2,903,4.5,1447598692
2,928,3.0,963178236
2,1240,5.0,1058456918
2,1291,3.5,1100292008
2,1610,4.5,1476479641
2,1617,4.0,962685470
2,2159,3.5,1378489178
2,2571,3.0,1182909819
2,2686,4.5,1310786038
2,2947,3.5,1424349215
2,3098,3.5,1181476644
2,3489,4.0,1117490772
2,3793,4.5,1200869930
2,4259,5.0,1229888156
2,4519,4.5,1138498639
2,4979,3.5,1054038381
2,5069,3.0,1159162840
2,5218,4.0,945078814
2,5782,4.0,1493848692
2,6936,3.5,1450453145
2,7348,5.0,1004409540
2,7980,4.0,1105664483
2,27156,3.5,1105671091
2,34405,4.0,1155746415
2,58559,3.0,1524522296
2,65682,3.5,975829650
2,81932,2.0,1155066811
2,86833,3.0,835877307
2,90524,5.0,1450572466
2,95771,4.0,1179165171
2,117887,3.5,1154038040
2,126921,3.5,1229142859
2,145491,3.0,831939750
3,1,4.0,1199216343
3,19,3.5,978745135
3,101,3.0,1438547766
3,150,4.5,1521489700
3,185,3.5,975015669
3,203,3.5,1186589533
3,223,3.0,939227524
3,262,5.0,1430507559
3,293,2.0,1459035862
3,457,3.5,1435837020
3,500,3.5,975829046
3,592,1.5,1447269089
3,608,3.0,860397382
3,923,4.0,1525287886
3,1077,4.5,1326608943
3,1193,5.0,1165975910
3,1204,4.5,1516144003
3,1208,3.0,1494528872
3,1222,4.0,845299756
3,1295,4.0,1230497666
3,1374,3.5,1446573310
3,1466,2.5,996218988
3,1593,3.0,994038747
3,1616,4.5,1126533613
3,2087,2.5,1171406306
3,2174,4.5,1032390100
3,2396,4.5,1089043960
3,2565,5.0,1033174269
3,2775,3.5,986849238
3,2857,2.5,844163061
3,2987,2.0,1054780305
3,3081,2.5,1111525427
3,3275,4.0,1004409118
3,3408,5.0,1460302550
